,등급,구분 내역,상세 내역,,,가동 유.무,Part 수급,AS 대응,Remark,,,,
,A,Maker AS,現 가동설비 / 제조사 AS 가능,,,O,O,O,"가동 유무:   ○: 현 가동중,  △ : Part 구매 또는 수리후 가동,  X: 가동 불가",,,,
,B,Local AS,現 가동설비 / 현지 AS 업체 수배 필요,,,O,O,△,"Part 수급(운휴 장비로서 Part 수리후 가동 가능 장비):   ○: 수급 가능 ,   X: 수급 불가",,,,
,C,Part 구매 필요,現 운휴설비/Part 구매가능/ AS 대응 가능,,,△,O,O,"	AS 대응:   ○제조사 가능,  △ : 현지 업체 가능(수배 필요),  X: AS 불가 ",,,,
,D,AS 불가,現 가동설비 / AS 불가,,,O,O,X,,,,,
,E,Part 수급 불가,現 가동 설비 / Part 수급 불가 / AS 불가,,,O,X,X,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Site,공정,세부공정,보유 대수,Teaser,주요 내용,JV필요,이관가능,평가결과,Bal.,사유,JV 투자 필요 대수,,점검 포인트
평택,Bump,Sputter,3,2,,2,2,D,,,,,
,,PR Coating,2,1,JV 투자 반영,1,,,(1),기존 투자계획 반영,1,,
,,Stepper,2,1,JV 투자 반영,2,1,D,,,1,,
,,Develop,4,2,,2,1,D,(1),NDDI전환,1,,
,,Descum,2,1,,1,,,(1),NDDI전환,1,,
,,Au Plating,11,6,,6,6,D,,,,,
,,PR Strip,3,1,,2,2,E,1 ,,,,
,,Au Etch,2,1,JV 투자 반영,1,,E,(1),기존 투자계획 반영,1,,
,,TiW Etch,2,,,1,,E,,,1,,
,,Anneal,4,1,,4,3,D,2 ,,1,,
,,Scrubber,4,1,,1,1,D,,,,,
구미,COF,Lami,1,,COG 장비 공용 사용 가정,1,,,,,1,,
,,BG,2,,COG 장비 공용 사용 가정,1,,,,,1,,
,,Laser Marking,2,2,COG 장비 공용 사용 가정,1,,,(2),COG 이관 가능 1대 보유 (실제 이관 가능 여부는 확인 필요),1,,Device Mix 변화에 따른 필요 장비 대수 1대 감소
,,Wafer Mount(장),1,1,,1,,,(1),전력반도체 공용 사용,1,,Manual Mount & Wafer Mount 둘다 필요??
,,Manual Mount(장),2,,,1,1,,1 ,,,,
,,Saw,28,18,,12,12,A,(6),Device 변경에 따른 대수 변경,,,P2 이관에 따른 현황은 재점검 필요
,,UV,1,2,,1,,,(2),기존 3대보유였으나 현재 1대,1,,기존 DB 작성 시점에 3대 → 보유 대수 감소 사유는 확인 필요
,,ILB_1세대,6,6,,6,6,E,,,,,
,,ILB_2세대,17,17,,15,15,E,(2),Device 변경에 따른 대수 변경,,,
,,ILB_3세대,45,17,,13,13,A,(4),Device 변경에 따른 대수 변경,,,중장기 물동 고려시 최대 이관 대수는 몇대?
,,POT(pcs),56,33,,26,19,E,(14),Device 변경에 따른 대수 변경,7,,
,,OVEN(pcs),32,20,,18,18,D,(2),Device 변경에 따른 대수 변경,,,
,,Auto Rewinder(pcs),6,3,,3,3,E,,,,,
,,Manual Rewinder(pcs),2,4,,1,1,E,(3),Device 변경에 따른 대수 변경,,,기존 DB 작성 시점에 3대 → 보유 대수 감소 사유는 확인 필요
